"ApplicationCode","AccountOwner","AccountName","AccountType","EntitlementName","SecondEntitlementName","ThirdEntitlementName","AccountStatus","IsPrivileged","AccountDescription","CreateDate","LastLogin","LastUpdatedDate","AdditionalAttribute","Country"
"MOC","system","system","USR","NA","NA","NA","A","N","NA","20180614145805","NA","20180615160439","ROLE_ADMIN","TH"
"MOC","admin","admin","USR","NA","NA","NA","A","N","NA","20180614145805","20240709201207","20180709144214","ROLE_ADMIN","TH"
"MOC","user","user","USR","NA","NA","NA","A","N","NA","20180614145805","20181003151215","20190821155809","ROLE_USER","TH"
"MOC","pf0mthr0","pf0mthr0","USR","NA","NA","NA","A","N","NA","20180615000337","NA","20180615000337","ROLE_ADMIN","TH"
"MOC","moss","moss","USR","NA","NA","NA","A","N","NA","20180617144630","NA","20180617173342","ROLE_USER","TH"
"MOC","kiosk","kiosk","USR","NA","NA","NA","A","N","NA","20180617221857","20180903150416","20180617222230","ROLE_KIOSK","TH"
"MOC","t9cyaml","t9cyaml","USR","NA","NA","NA","A","N","NA","20180709091735","20190514155418","20181113181332","ROLE_ADMIN","TH"
"MOC","user1","user1","USR","NA","NA","NA","A","N","NA","20180719145238","NA","20181113175238","ROLE_DIGITALBANK","TH"
"MOC","t1slole","t1slole","USR","NA","NA","NA","A","N","NA","20180719145929","20181010205515","20180719145929","ROLE_DIGITALBANK","TH"
"MOC","tester01","tester01","USR","NA","NA","NA","A","N","NA","20180726091553","NA","20180726091553","ROLE_DIGITALBANK","TH"
"MOC","t1nthii","t1nthii","USR","NA","NA","NA","A","N","NA","20180801203551","NA","20180801203551","ROLE_DIGITALBANK","TH"
"MOC","somkiat-sae","somkiat-sae","USR","NA","NA","NA","A","N","NA","20180808104401","NA","20180808104401","ROLE_IDM","TH"
"MOC","t1splie","t1splie","USR","NA","NA","NA","A","N","NA","20180808104528","NA","20180808104528","ROLE_IDM","TH"
"MOC","suchada-rod","suchada-rod","USR","NA","NA","NA","A","N","NA","20180808104703","NA","20180808104703","ROLE_IDM","TH"
"MOC","boonchai-j","boonchai-j","USR","NA","NA","NA","A","N","NA","20180808104840","NA","20181113181835","ROLE_DIGITALBANK","TH"
"MOC","sukjai","sukjai","USR","NA","NA","NA","A","N","NA","20181022152939","20181024112058","20181022152939","ROLE_BRANCH","TH"
"MOC","tester","tester","USR","NA","NA","NA","A","N","NA","20181122094325","NA","20181122094843","TEST","TH"
"MOC","t1nthir","t1nthir","USR","NA","NA","NA","A","N","NA","20190306092154","20230110203802","20190829115250","ROLE_BRANCH","TH"
"MOC","t1ksabp","t1ksabp","USR","NA","NA","NA","A","N","NA","20190826095656","20190829170401","20190826095656","ROLE_BRANCH","TH"
"MOC","t1kyang","t1kyang","USR","NA","NA","NA","A","N","NA","20190826103708","NA","20190826103708","ROLE_BRANCH","TH"
"MOC","t1nimwa","t1nimwa","USR","NA","NA","NA","A","N","NA","20190829112715","NA","20190829113748","ROLE_ADMIN","TH"
"MOC","t9wlili","t9wlili","USR","NA","NA","NA","A","N","NA","20190829132121","20190829161656","20190829132121","ROLE_ADMIN","TH"
"MOC","t1cyaml","t1cyaml","USR","NA","NA","NA","A","N","NA","20191002180608","20211221162728","20191002180608","ROLE_ADMIN","TH"
"TotalCount","23"
